dis 
1.70999094
 1.91776208
 2.01346474
 2.0900729
 2.22192416
 2.40319113
 2.64381142
 2.97710296
 3.40034062
 3.70210115
 3.90783528
 4.10436005
 4.1722107
 4.00051441
 3.84380769
 3.90098236
 4.05032822
 4.15053197
 4.15387592
 4.11256768
 4.17895441
 4.2423102
 4.22959283
 4.18792984
 4.30353938
 4.52944615
 4.66825655
 4.58403314
 4.36891222
 4.33625607
 4.28219103
 4.16462366
 4.14504582
 4.1129424
 4.09733902
 4.02779474
 3.83866994
 3.69725193
 3.60400688
 3.6286726
 3.73762659
 3.74413209
 3.79979735
 3.92801477
 4.01960686
 4.06883934
 4.09215693
 4.08079796
 4.06027694
 4.082379
 4.10379507
 4.04739683
 4.01383495
 3.96171413
 3.93294343
 3.9650651
 3.98289112
 4.04729864
 4.09293526
 4.0408382
 4.00004728
 3.92523175
 3.89368496
 3.89636447
 3.90312905
 3.95636862
 3.92970302
 4.00141082
 4.11862066
 4.05297638
 3.96756989
 4.05031823
 4.11938692
 4.04119766
 3.94283022
 3.93495148
 3.92971541
 4.07292317
 4.23118535
 4.28797789
 4.38778737
 4.48483514
 4.47873163
 4.45209901
 4.45336095
 4.43315406
 4.31101609
 4.31951942
 4.37183463
 4.28288394
 4.21303789
 4.20327999
 4.16573708
 4.08053904
 4.01931131
 4.04424987
 4.05983639
 4.22132969
 4.32484174
 4.23818847
 4.29192539
 4.31816596
 4.23392638
 4.20406731
 4.18772182
 4.17895329
 4.15715494
 4.20005879
 4.25919685
 4.19820929
 4.24608741
 4.31851252
 4.30334402
 4.29415138
 4.25399119
 4.21218406
 4.18282884
 4.13426861
 4.17375573
 4.17641526
 4.13911335
 4.13266646
 4.17754745
 4.30779743
 4.3139151
 4.24236028
 4.26274093
 4.25667913
 4.29632225
 4.3365336
 4.36468866
 4.42698925
 4.39247726
 4.30082104
 4.22221244
 4.20186589
 4.20013727
 4.091254
 4.06070798
 4.04749992
 3.9695713
 4.02332288
 4.07584105
 4.18043942
 4.22332629
 4.11887186
 4.08063835
 4.0937152
 4.11117379
 4.17325607
 4.16933294
 4.18781579
 4.07886589
 4.05804821
 4.32759768
 4.42966793
 4.365988
 4.35436634
 4.3825667
 4.42899649
 4.38794492
 4.3471977
 4.35516025
 4.32661711
 4.37464744
 4.29272781
 4.18572955
 4.21353768
 4.15457084
 4.15551135
 4.22962214
 4.21396756
 4.15492748
 4.14275545
 4.27598857
 4.29258519
 4.16745799
 4.17330866
 4.19367432
 4.21886793
 4.25686482
 4.22855303
 4.18142128
 4.12089649
 4.19312601
 4.29686345
 4.32195592
 4.3028738
 4.2006279
 4.12797325
 4.13993029
 4.11266773
 4.05463441
 4.07402105
 4.158871
 4.10441719
 4.05353192
 4.08350314
 4.07209142
 4.10803728
